"


usd (U.S. Dollar)",1,116.64,117.24
"


eur (European Euro)",1,142.03,142.76
"


gbp (UK Pound Sterling)",1,164.93,165.78
"


chf (Swiss Franc)",1,129.39,130.06
"


aud (Australian Dollar)",1,90.08,90.54
"


cad (Canadian Dollar)",1,96.60,97.09
"


sgd (Singapore Dollar)",1,88.11,88.56
"


jpy (Japanese Yen)",10,10.62,10.68
"


cny (Chinese Yuan)",1,18.27,18.36
"


sar (Saudi Arabian Riyal)",1,31.10,31.26
"


qar (Qatari Riyal)",1,32.03,32.20
"


thb (Thai Baht)",1,3.74,3.76
"


aed (UAE Dirham)",1,31.75,31.92
"


myr (Malaysian Ringgit)",1,28.28,28.42
"


krw (South Korean Won)",100,10.47,10.52
"


sek (Swedish Kroner)",1,14.08,14.16
"


dkk (Danish Kroner)",1,19.10,19.20
"


hkd (Hong Kong Dollar)",1,15.03,15.11
"


kwd (Kuwaity Dinar)",1,387.75,389.75
"


bhd (Bahrain Dinar)",1,309.39,310.98
